,casos,tempmed,umidmed
0,0,25.0636905714,64.6428571429
1,0,23.4755947143,60.4017862857
2,0,23.6628967143,62.9561625714
3,2,23.194813,66.6986397143
4,0,23.4852241429,60.6659315714
5,2,24.2571434286,59.057143
6,4,23.4011902857,58.2633507143
7,2,21.0448181429,71.1708691429
8,0,23.5823131429,62.1217682857
9,1,21.1477038571,74.8516157143
10,1,22.9619045714,66.2285708571
11,2,23.5238092857,63.1571441429
12,1,19.594558,77.7809508571
13,1,21.0698411429,79.1507948571
14,0,22.1886901429,69.5916665714
15,0,20.4869047143,80.4202385714
16,1,20.0639457143,75.2843548571
17,0,16.5636902857,65.7262762857
18,2,19.7738795714,66.0326337143
19,0,16.6107144286,69.6543648571
20,0,19.0991094286,71.0217337143
21,0,16.8853744286,76.6962585714
22,2,18.307143,71.6338428571
23,0,18.0264908571,72.9256498571
24,0,16.851020428600002,75.7673477143
25,1,17.2459382857,67.0464982857
26,0,18.9440474286,63.3630954286
27,0,16.897519,73.3013202857
28,0,15.8023808571,71.3434522857
29,0,16.1994767143,74.6773938571
30,1,15.13192,76.2406071429
31,0,16.7512185714,59.1195015714
32,0,16.2686245714,67.7500042857
33,0,17.9210215714,66.1473108571
34,0,19.3379551429,61.3290967143
35,0,18.2375,64.5297628571
36,0,19.9108842857,53.0020411429
37,0,22.030128,53.9407512857
38,0,20.7986394286,53.5461727143
39,0,20.8339284286,59.2148808571
40,0,19.4333332857,47.8244045714
41,1,26.0693627143,45.42451
42,0,19.8952381429,71.5328777143
43,2,20.7692474286,68.2580327143
44,0,23.4029762857,60.7401264286
45,0,19.6033264286,77.9313377143
46,2,21.3619045714,57.9619051429
47,0,20.8255835714,82.825
48,0,20.1641454286,77.9754092857
49,0,22.3951865714,67.3858687143
50,0,21.8638417143,73.0276028571
51,0,23.1589985714,71.4249651429
52,0,25.4025908571,59.3028014286
53,0,23.1961132857,66.5666665714
54,2,25.6380954286,53.009524
55,0,24.1498598571,58.9024814286
56,0,23.2757822857,70.928629
57,0,21.6315825714,75.4254917143
58,0,23.1904767143,70.8952392857
59,0,21.8960788571,75.1456087143
60,3,22.8585084286,69.36201
61,2,21.6700395714,72.7476191429
62,3,22.006953,78.1887297143
63,1,21.2000002857,76.8250271429
64,2,21.4719772857,74.8207637143
65,4,21.3834082857,78.0777902857
