,dengue_cases,mean_temperature,mean_humidity
0,6,27.6297332857,81.3036371429
1,11,28.4359354286,68.8832334286
2,6,25.8379248571,79.1436868571
3,5,27.4902831429,74.2295088571
4,8,29.0878911429,63.5452717143
5,21,30.7929894286,53.9662691429
6,19,26.8446944286,71.9276468571
7,33,24.860673,80.3263762857
8,24,25.4935448571,82.6304168571
9,28,25.1615461429,83.9370694286
10,28,25.8685072857,80.2786362857
11,45,26.7100527143,77.2268065714
12,32,24.0065274286,79.6065968571
13,40,25.1777271429,83.8040234286
14,52,26.3131687143,76.093938
15,59,23.3588097143,86.07
16,64,22.2758222857,83.9777848571
17,58,20.8563665714,75.2329202857
18,51,23.709066,69.2616308571
19,48,21.7012988571,73.2889608571
20,46,21.777542,81.9946608571
21,35,17.8722062857,85.5978371429
22,58,20.8834725714,75.0549231429
23,26,22.6317291429,75.453416
24,29,20.4919774286,80.1405277143
25,22,22.8035714286,67.892856
26,14,21.6109522857,64.0004765714
27,11,19.6253934286,79.0143782857
28,11,20.0932872857,73.7412185714
29,7,18.1939162857,76.274886
30,8,20.132483,73.9544225714
31,8,22.2821117143,59.8992648571
32,9,20.9895861429,66.6713628571
33,4,22.9006214286,64.95160514290001
34,11,23.0973788571,54.7094388571
35,7,21.8111221429,76.1610527143
36,10,25.6394931429,53.40088
37,11,23.990204,69.7628262857
38,6,22.268646,80.520456
39,5,22.505873,76.1350937143
40,13,24.5952382857,54.1964285714
41,7,29.8925982857,53.2994314286
42,8,23.806803,77.2171762857
43,7,26.3704807143,64.964664
44,5,25.2388601429,83.7608945714
45,10,24.7857142857,70.2083342857
46,13,24.2012311429,71.7278754286
47,12,24.2159012857,87.828562
48,10,24.3447354286,81.215266
49,8,23.946024714300002,89.369098
50,7,25.4958787143,77.8138417143
51,6,25.3252321429,85.7173295714
52,2,28.0760075714,75.7831314286
53,15,26.7016298571,79.9619405714
54,25,29.1695388571,71.3924402857
55,63,28.2064285714,71.6678577143
56,105,25.2219415714,85.2177614286
57,191,25.0706778571,84.7119582857
58,316,25.7119962857,86.4691568571
59,440,24.4246701429,91.1581514286
60,622,26.5373811429,79.3261897143
61,824,25.5375848571,82.8968828571
62,847,23.5661121429,93.0715114286
63,940,23.1158198571,90.620002
64,747,24.6402694286,81.4684274286
65,602,24.4594088571,84.9315985714
66,717,22.7800002857,79.1683348571
67,573,24.4469694286,72.7715208571
68,524,24.365045,80.4095235714
69,623,20.9166665714,73.8171774286
70,456,21.4646154286,76.2864011429
71,359,19.6396492857,79.6528828571
72,194,21.0210622857,79.865842
73,192,21.5503155714,77.4702024286
74,199,20.1623562857,81.1703605714
75,156,23.5635,62.933442285699996
76,169,20.4109522857,75.4164274286
77,178,19.6180125714,73.1262934286
78,258,18.9784012857,81.9590668571
79,115,18.4380558571,88.3321554286
80,56,22.8406725714,72.2496268571
81,15,20.8161905714,73.3657154286
82,16,20.7533645714,64.2572462857
83,14,24.630952,48.8928571429
84,6,23.319728,57.37585
85,7,22.4076085714,60.4482988571
86,4,20.6123294286,74.5755125714
87,2,24.1446105714,61.8820337143
88,8,20.4941045714,87.1023735714
89,7,25.9540814286,60.9583337143
90,4,28.4283331429,52.584524
91,8,24.529121,78.6840291429
92,9,24.9391158571,74.2210285714
93,6,26.330126,66.9432167143
94,2,25.7760027143,69.7767684286
95,6,24.2209868571,81.1530521429
