,casos,tempmed,umidmed
0,1,26.1197602857,63.6886084286
1,1,25.5900358571,55.3961594286
2,0,25.7536485714,56.0084032857
3,0,24.893149,63.9634101429
4,1,25.5882357143,52.0588238571
5,1,26.4789914286,48.6554625714
6,3,25.957458,50.7169118571
7,0,24.872899,58.3420282857
8,1,25.772876,56.4435704286
9,1,23.764706,67.5232197143
10,1,24.966387,61.453781
11,1,25.7972964286,56.8354344286
12,1,22.9777312857,69.699684
13,2,23.4674604286,73.3681841429
14,1,25.167017,58.9921222857
15,1,24.3383851429,67.1781214286
16,2,23.2157445714,68.7494752857
17,1,20.034629,55.0541667143
18,3,23.0388655714,59.3917667143
19,1,20.6180105714,54.4600037143
20,3,22.862245,56.8910571429
21,0,21.2253857143,66.3435598571
22,1,21.9036415714,60.3513654286
23,0,20.9658262857,61.6655462857
24,0,20.782093,61.6404565714
25,0,20.2864844286,58.662885
26,0,22.445378,51.5210084286
27,1,20.5310122857,59.2402974286
28,0,19.8735792857,55.1739042857
29,0,19.251067,66.2579182857
30,0,18.6047227143,64.1871721429
31,0,20.7819675714,44.3430322857
32,0,20.7516508571,52.4444025714
33,0,21.8204484286,51.4573684286
34,1,24.4156352857,43.177015
35,0,22.8807195714,49.1362832857
36,2,22.2331182857,44.1612398571
37,0,25.2113121429,40.7523011429
38,0,24.6920142857,41.3215711429
39,1,25.0116714286,45.6665732857
40,0,22.2064077143,39.1612392857
41,4,29.1897172857,33.5940125714
42,0,25.1296918571,52.9072628571
43,0,22.4253281429,69.5631732857
44,1,26.0654262857,50.9627852857
45,0,23.2738792857,70.9995807143
46,1,24.1932774286,51.1260498571
47,0,22.6314895714,80.4767814286
48,0,22.3426701429,71.6908968571
49,0,24.3963582857,62.3636792857
50,0,24.7239144286,64.5831002857
51,0,25.5501992857,63.5152575714
52,0,28.1736695714,48.9495801429
53,1,25.9453781429,54.2488318571
54,0,27.6638658571,42.5798322857
55,1,27.0189074286,47.7526257143
56,2,25.4275761429,63.6669622857
57,1,23.7360921429,69.4296618571
58,1,24.9480877143,64.5181568571
59,0,24.7551938571,64.3463107143
60,3,25.0528777143,63.0939852857
61,1,24.653909,66.0147177143
62,2,24.2327844286,72.467845
63,4,24.3917911429,64.550991
64,2,24.5537814286,69.061345
65,3,24.439076,69.9184421429
66,1,22.1760562857,72.6782662857
67,2,23.8933822857,60.5730051429
68,3,24.799428,70.0616231429
69,6,21.5787815714,67.2006307143
70,12,21.4663114286,73.0883104286
71,5,20.0259681429,71.6306592857
72,4,20.0311624286,69.8071081429
73,3,21.8844535714,64.3571437143
74,2,20.8571431429,70.936449
75,1,21.4282565714,58.4528722857
76,1,21.5990545714,65.0306014286
77,0,18.4967321429,65.8982252857
78,0,20.3694978571,62.3328587143
79,1,20.848739,64.142857
80,1,21.0678635714,58.9769545714
81,0,19.9663864286,60.134454
82,1,21.4545925,59.2409701667
83,0,21.8319325714,47.5546215714
84,0,20.0780312857,56.5936368571
85,0,22.5462182857,54.1344545714
86,0,23.9059877143,51.921219
87,0,25.5848737143,43.9905695714
88,0,22.8986595714,67.715219
89,0,24.5891455714,53.9210907143
90,0,28.7394957143,34.4873945714
91,1,28.0901027143,38.9929967143
92,0,26.6134452857,43.7310922857
93,1,28.6813185714,30.7909497143
94,1,27.4907561429,49.3294111429
95,0,25.2399625714,57.892625
96,0,29.31715725,40.552941875
97,2,27.1760621429,53.1221982857
98,0,24.4289355,73.5569441667
99,0,24.9834957143,65.76669
100,0,25.5210361429,68.555881
101,1,23.0443514286,78.2296931429
102,3,21.3058822,78.435294
103,2,21.5816325714,73.5408161429
104,0,21.8235294286,78.0336134286
105,4,21.0225562857,80.4285714286
106,3,21.6642857143,85.1857142857
107,5,20.5619045714,87.6476185714
108,7,22.4201681429,80.8776848571
109,6,26.8991598571,54.8314077143
110,7,26.0504202857,59.5378148571
111,32,22.2767857143,79.4910714286
112,29,21.7380951429,76.6587307143
113,26,20.9642857143,84.7928571429
114,26,21.5238094286,80.3619042857
115,39,20.9243698571,81.9159665714
116,18,20.8403361429,82.9075628571
117,34,21.4095238571,78.1809522857
118,29,21.9186507143,72.3769842857
119,28,24.1670588,59.7031976
120,17,21.35667765,71.70808046665
121,22,18.5462965,83.7129633333
122,17,16.5,82.5
123,8,18.84,79.1333328
124,9,18.2395833333,84.21875
125,1,16.9183674286,82.4285714286
126,0,16.5798318571,86.8739492857
127,3,18.5098038333,86.137255
128,0,13.4360901429,81.6390974286
129,0,15.9285714286,79.9375
130,0,15.4033614286,80.1176471429
131,0,15.8655461429,76.4201681429
132,0,16.2436975714,73.4789914286
133,0,15.6517857143,77.0
134,0,16.3406861667,71.6053925
135,0,16.9492297143,69.1225487143
136,1,17.34127,66.5714285714
137,0,18.2232142857,76.0089285714
138,0,17.5882352857,67.1764705714
139,0,19.0482294286,68.9564102857
140,0,18.9583333333,67.125
141,0,19.3445377143,65.8739492857
142,0,19.5620915,69.9052283333
143,0,17.6,83.8
144,0,19.9285715,58.5714285
145,0,19.8655461429,78.92437
146,0,22.9081632857,68.1530614286
147,0,22.2285714286,70.2714285714
148,0,19.3214285714,81.0982142857
149,0,19.9056121429,83.2079085714
150,0,20.3084148333,87.2393793333
151,0,18.7815127143,84.9159665714
152,1,20.45,84.2125
153,1,20.6923075714,89.8571428571
154,0,20.5454546667,88.1818186667
155,0,21.476923,73.0153846
156,0,22.755238,74.33714259999999
157,0,23.5986395714,70.9625854286
158,0,21.5571428571,79.5428571429
159,2,22.1272728,71.9259742
160,2,22.3479166667,70.30625
161,0,20.753846,82.738462
162,0,22.8125,77.625
163,1,21.05,80.0833333333
164,4,21.9666666667,75.5333333333
165,0,21.11111125,82.5
166,0,21.4805194286,81.5324671429
167,0,21.1041666667,75.4791666667
168,0,19.730769,74.1538465
169,0,19.0,83.3333333333
170,0,19.4722223333,82.5
171,0,21.425,79.2333328
172,0,19.3384616,82.246154
173,1,18.888889,90.4222216667
174,0,17.6666666667,82.9166666667
175,0,16.8333333333,84.141025
176,0,18.090909,88.7727275
177,0,16.0,88.0
178,0,15.0,88.0
179,0,15.75,91.0
180,0,16.4923076,88.892308
181,0,13.6,91.6
182,0,12.75,91.0
183,0,12.4,84.6
184,0,13.3333333333,90.0
185,1,13.6,84.4
186,0,13.6,80.0
187,0,13.8,80.6
188,0,15.3333333333,80.6666666667
189,0,17.0,77.3333333333
190,0,14.75,81.0
191,0,15.0,76.25
192,0,14.4583335,74.541667
193,0,15.5683825,72.62864145
194,0,16.6784315,70.7156159
195,0,17.7884805,68.80259035
196,1,18.8985295,66.8895648
197,0,20.0085785,64.97653925
198,0,21.1186275,63.0635137
199,0,22.2286765,61.15048815
200,0,23.3387255,59.2374626
201,0,24.4487745,57.32443705
202,0,25.5588235,55.4114115
203,0,22.0672271429,80.1641222857
204,1,22.7549015714,73.6277721429
205,0,21.1564628571,88.7852521429
206,0,20.2492997143,85.1051921429
207,0,21.7422968571,74.5776982857
208,0,23.3361342857,73.6301712857
209,0,20.3809522857,88.9750705714
210,0,20.5,77.1615892857
211,0,22.042017,70.5416535714
212,1,22.0476185714,65.4639601429
213,0,20.8263307143,85.2855208571
214,0,20.1120447143,87.457145
215,0,20.5714282857,77.5303234286
216,0,20.8347337143,85.3459985714
217,0,24.1806725714,74.2670042857
218,3,21.2857142857,87.7728185714
219,0,21.75,84.22169
220,0,20.65,85.9993781429
221,0,19.6428571429,80.7182365714
222,0,20.5357142857,81.6843128571
223,1,19.5238094286,81.0778122857
224,0,18.6743698571,77.7821275714
225,0,21.5478994286,68.352467
226,0,22.5042018571,56.0887268571
227,0,21.184874,65.5702574286
228,1,22.1428571429,68.0155801429
229,0,16.2533611429,75.9661827143
230,0,15.2142857143,80.7692937143
231,0,17.6428571429,79.1039442857
232,0,17.5357142857,83.1853312857
233,0,16.0,81.8965657143
234,0,17.1785714286,76.119418
235,0,16.2857142857,76.2672457143
236,0,16.2928571429,74.5457907143
237,0,19.0693277143,64.0911092857
238,0,19.6134448571,57.2658288571
239,1,20.7226891429,65.1102378571
240,0,21.747899,65.0554451429
241,0,17.2310924286,68.7035847143
242,0,16.7,70.8800557143
243,0,17.6428571429,74.8442335714
244,0,18.0714285714,64.2398694286
245,0,17.5714285714,71.4492085714
246,0,19.0,83.9929551429
247,0,20.5119048571,65.644298
248,0,21.7436972857,72.2346708571
249,0,24.92437,53.0068445714
250,1,22.2521008571,76.515822
251,0,18.1785714286,82.287606
252,0,19.4928571429,81.8107944286
253,0,18.1690477143,83.5407012857
254,0,19.2380951429,85.1203387143
255,0,18.5952382857,86.354937
256,0,18.2857142857,80.4110942857
257,0,19.669468,85.971622
258,0,23.1436975714,60.7639374286
259,0,26.0672271429,56.4431897143
260,0,20.6633054286,82.9161445714
261,0,19.2857142857,87.9951594286
262,0,20.3333331429,75.6726087143
263,0,24.5154061429,62.3699637143
264,0,25.6218488571,56.0776215714
265,2,26.5882354286,49.0552715714
266,0,22.4280615714,72.2705754286
267,1,20.5238097143,81.7683741429
268,0,20.1309522857,87.8753708571
269,1,21.1071428571,81.5556792857
270,2,20.8928571429,79.1332385714
271,1,21.1785714286,79.0641328571
272,8,20.4642857143,85.30701
273,2,19.3214285714,78.9545964286
274,8,20.2857142857,80.8368191429
275,6,20.52479,81.0959902857
276,12,20.154762,82.4005554286
277,12,20.1885355714,78.8708885714
278,19,19.9761905714,82.9923227143
279,12,18.7785714286,82.9988942857
280,25,18.0714285714,85.0358868571
281,33,17.2857142857,79.5738014286
282,16,17.7857142857,79.7098514286
283,7,14.75,79.267395
284,9,16.1092437143,80.2290635714
285,3,15.7857142857,76.3987165714
286,5,16.8095238571,79.1461271429
287,4,16.0357142857,72.9492192857
288,2,11.8714285714,73.087669
289,4,14.5928571429,68.006839
290,0,14.5357142857,76.1888257143
291,1,16.2,67.9098675714
292,1,16.4642857143,76.147083
293,1,16.0357142857,68.9226514286
294,0,17.4929972857,66.8908931429
295,0,15.6309524286,70.779315
296,0,19.6309522857,64.4974184286
297,2,20.2,60.4015998571
298,1,22.0071428571,56.1767904286
299,0,18.75,73.5641614286
300,0,20.1428571429,69.0265604286
301,0,21.5,64.8154598571
302,0,22.3214285714,51.5373798571
303,0,21.7857142857,74.0994255714
304,0,20.5714285714,78.9385654286
305,4,23.6666665714,66.5227391429
306,0,22.1904762857,74.6660022857
307,4,20.4166668571,84.7542815714
308,4,20.2142854286,84.2174964286
309,15,20.7142854286,87.7762492857
310,1,20.559524,85.7047025714
311,2,22.654762,70.0308285714
312,0,22.3333334286,76.4065055714
313,0,23.1045755,75.3816363333
314,1,25.5574228571,70.8832757143
315,0,26.630252,65.500207
316,2,22.7394961429,82.986704
317,7,25.6302522857,72.25081
318,2,23.6783018571,74.6389645714
319,3,20.6190471429,89.2076358571
320,3,22.1785714286,80.1092464286
321,2,22.0840335714,84.1561264286
322,3,21.1780462857,84.0151942857
323,0,24.4117647143,66.8607122857
324,2,22.3739495714,78.2849807143
325,0,21.9831937143,70.5432142857
326,0,24.8571428571,70.0415562857
327,0,24.268908,73.7286587143
328,1,22.1932775714,76.2647114286
329,2,21.9831934286,66.7349682857
330,1,21.630252,59.2748422857
331,0,20.6890752857,67.5208172857
332,3,19.8664801429,71.9645314286
333,1,20.697479,69.8057262857
334,0,18.2935177143,66.3614752857
335,1,20.3529412857,65.5634574286
336,0,22.1624651429,60.0991895714
337,1,19.2553921429,73.2381765714
338,0,19.5908612857,61.224151
339,0,20.3364145714,68.0697407143
340,0,20.4388004286,62.541671
341,0,20.8726191429,62.1656574286
342,0,20.335234,61.7738648571
343,0,21.1004552857,60.01284
344,0,18.7787112857,56.031504
345,0,21.4914964286,58.3149032857
