,casos,tempmed,umidmed
0,5,27.4345237143,64.1421227143
1,9,27.2800671429,56.2927498571
2,14,25.329972,65.6094307143
3,10,26.1551822857,62.7985294286
4,13,28.1619045714,49.4380955714
5,14,29.3316527143,48.1495801429
6,21,27.3706415714,53.0238257143
7,12,24.768254,64.2365097143
8,13,27.1273808571,57.4309532857
9,15,24.5198878571,69.532248
10,17,26.7884917143,60.3549608571
11,13,27.0058674286,58.8760197143
12,21,23.1174602857,67.4099764286
13,24,23.9418315714,73.3823822857
14,24,25.7646827143,62.3748018571
15,23,23.0916668571,76.0458328571
16,19,22.6897581429,70.6598742857
17,22,20.2902214286,59.1800174286
18,26,22.9452381429,61.8857147143
19,40,20.2061497143,62.085123
20,33,21.7467731429,69.30993
21,30,19.5795987143,70.8655114286
22,37,20.3398291429,68.7533808571
23,51,21.5827094286,68.7213034286
24,39,20.0783311429,72.2530014286
25,28,20.1428572857,64.9904758571
26,35,21.0522868571,60.6069561429
27,29,19.2108442857,73.4096037143
28,38,19.370238,62.579761
29,29,19.2010075714,64.9782964286
30,17,18.4218198571,69.5198118571
31,15,20.3231294286,54.7224497143
32,33,19.5957227143,63.7811034286
33,31,21.8818875714,60.6573131429
34,23,21.6996151429,56.9451682857
35,13,22.4476192857,56.0458337143
36,12,24.8635205714,43.5248301429
37,12,25.0282215714,54.7267858571
38,14,22.639791142900002,61.9627458571
39,12,22.7174995714,64.5612861429
40,11,24.2785244286,42.927358
41,3,28.954592,45.7208334286
42,7,24.2681972857,61.6706627143
43,7,25.8361612857,54.7880588571
44,4,25.8678571429,64.883929
45,2,23.6107641429,66.1342804286
46,4,25.2476191429,52.2997497143
47,18,24.5265144286,72.225013
48,18,25.9899748571,58.7888875714
49,49,25.9682777143,64.5030088571
50,97,26.0025374286,59.7800231429
51,96,26.9998718571,64.8982264286
52,60,28.7638655714,56.3339285714
53,409,27.7375001429,59.4815482857
54,623,29.704166999999998,54.4589285714
55,930,27.9859647143,57.2653422857
56,879,26.8312674286,63.6908261429
57,824,23.309582,76.0412677143
58,725,26.8860361429,67.6772764286
59,682,25.9967088571,67.544327
60,777,26.8551472857,61.907027
61,997,25.9017857143,64.4599201429
62,850,24.5482144286,76.0267854286
63,770,23.5757518571,76.3226315714
64,621,24.2424812857,71.2161657143
65,401,24.8095238571,69.5988668571
66,425,23.0836604286,69.1771235714
67,448,25.3047621429,63.7880938571
68,500,23.911631,75.3459501429
69,401,21.6706352857,68.2632927143
70,277,21.2913265714,70.2639475714
71,222,20.1273308571,72.0691864286
72,148,20.9196425714,71.3404757143
73,108,21.3888887143,70.6726194286
74,103,19.4952381429,77.98512
75,92,20.996819,65.8559942857
76,46,19.9446428571,73.9922614286
77,39,18.1115287143,73.4566428571
78,28,19.704511,68.7156642857
79,11,18.8190475714,73.1809525714
80,8,22.493001,60.6628421429
81,10,19.9034548571,68.9939312857
82,10,21.3678516667,63.5539625
83,5,22.1428572857,53.3904764286
84,4,21.9190475714,56.119048
85,5,22.6482142857,53.8285721429
