,casos,tempmed,umidmed
0,70,25.0669962857,62.449744
1,110,25.0324908571,58.2740208571
2,97,23.1500551429,66.8863545714
3,123,24.4709155714,64.8174734286
4,124,26.4166668571,55.9880948571
5,110,28.128996,50.8591822857
6,124,26.2485714286,57.8261908571
7,111,23.1431687143,65.4339202857
8,150,24.7916665714,63.2083331429
9,111,22.5567534286,74.3821691429
10,166,24.3111355714,71.0706585714
11,142,24.491465,69.0711908571
12,165,21.5416665714,74.261904
13,227,22.0169048571,77.7538091429
14,311,23.9101644286,68.8850005714
15,309,23.1470514286,72.7651277143
16,477,22.2923808571,70.6480948571
17,465,19.8540371429,61.9642857143
18,389,21.965934,66.2934065714
19,432,20.2984197143,64.0964714286
20,363,21.3491991429,71.9530514286
21,290,19.250873,69.3701325714
22,291,19.4158251429,69.5286788571
23,332,21.8485077143,67.4183085714
24,269,19.5990061429,76.5322828571
25,258,20.4830951429,66.484048
26,213,20.985,57.585
27,162,19.7143372857,71.4680662857
28,164,18.9599738571,67.2621774286
29,132,19.0663111429,65.2387074286
30,128,18.7224102857,69.6697828571
31,124,19.7176502857,58.2142857143
32,136,19.3454002857,66.463682
33,147,20.935458,63.4167402857
34,150,20.8356622857,59.0183754286
35,162,21.1343532857,64.793576
36,168,23.5900674286,51.1340188571
37,158,23.0097784286,63.2865134286
38,154,22.1686368571,63.1146231429
39,184,22.1516118571,66.3471991429
40,183,22.8452382857,49.3214285714
41,172,26.9391822857,52.7738097143
42,142,23.3714288571,62.0661902857
43,150,24.7465407143,58.6363971429
44,136,25.3390477143,67.0422748571
45,151,23.0725721429,65.7614577143
46,146,23.5233517143,60.2536627143
47,153,24.4754418571,72.7451182857
48,130,25.3016665714,59.8123805714
49,106,25.2396215714,69.4931828571
50,111,24.7613005714,64.4576092857
51,105,26.225,69.2992851429
52,35,27.779883,63.161847
53,215,27.2358242857,64.4583691429
54,226,28.6323622857,60.1958608571
55,257,27.4697617143,60.4652377143
56,269,26.6687361429,65.0994332857
57,344,23.9117688571,76.3852385714
58,416,26.3668917143,71.1109241429
59,606,25.5212902857,73.6796288571
60,683,25.8903604286,68.1562342857
61,612,24.937314,70.3059045714
62,844,24.8521428571,76.6426194286
63,1161,23.5380035714,79.3397944286
64,1225,23.8411172857,71.8456977143
65,1182,24.4889795714,71.044558
66,1413,23.0947251429,69.59901
67,1418,23.884656,73.3551222857
68,1356,24.04373,77.800768
69,1067,21.4697802857,71.8186802857
70,1252,21.3346702857,72.2335525714
71,1007,20.0162635714,75.63533
72,738,21.1011905714,75.5450354286
73,392,21.8171428571,73.6292491429
74,294,19.3290904286,83.3781565714
75,179,21.4084247143,69.0842471429
76,95,19.924817,76.4846391429
77,53,18.5953662857,74.5067774286
78,55,19.7059705714,75.3394677143
79,83,18.5891577143,79.062526
80,75,22.0987547143,67.8530042857
81,92,20.0865307143,72.2918031429
82,110,19.725515,73.2098782857
83,123,21.8035714286,57.7857142857
84,111,21.6071431429,62.7083331429
85,104,21.7065018571,59.6053118571
86,82,19.719044,76.3829022857
87,72,21.3935714286,66.2133337143
88,77,20.7333081429,79.0532022857
89,117,25.0871431429,57.9078571429
90,105,25.7612455714,54.344377
91,108,24.1511375714,76.4528571429
92,153,23.3076927143,65.3736282857
93,218,24.5766665714,59.438572
94,191,22.216601,68.1471628571
95,167,22.0623587143,70.658672
96,165,22.626323125,79.747362
97,227,24.0047801429,72.9298722857
98,274,23.6262227143,72.8942634286
99,286,22.700346,74.6232205714
100,288,22.1046155714,81.83824
101,469,22.2815305714,79.1020762857
102,475,21.8613947143,85.6386048571
103,402,22.2278911429,85.9036294286
104,251,22.5578231429,87.693028
105,585,21.7678571429,81.7797617143
106,551,21.7854082857,88.9221428571
107,583,19.0272111429,78.9464285714
108,570,21.931973,84.264456
109,669,26.0269051429,61.3707142857
110,771,24.8972658571,73.8189788571
111,772,22.6263914286,82.2431962857
112,871,21.7967687143,88.9149665714
113,965,20.9056122857,88.042518
114,1061,21.6431405714,91.3321991429
115,1071,20.4821428571,86.2517008571
