epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,upper_secondary_complete,higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,age_60_64,age_65_69,age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,4,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,1,3,4,0,3
week 2,7,4,3,0,1,1,0,0,0,2,1,1,0,0,1,0,0,5,0,1,0,0,0,1,6,2,5,7,1,5
week 3,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,3,3,0,1
week 4,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,2,1,3,1,2
week 5,15,9,6,0,1,3,2,0,0,1,1,1,1,1,0,0,1,5,4,2,0,1,0,4,11,5,10,15,6,7
week 6,11,5,6,0,2,1,1,0,1,3,0,1,0,0,1,0,1,5,3,1,0,0,0,1,10,2,9,11,7,3
week 7,31,13,18,0,0,0,2,1,3,8,4,1,0,1,0,3,1,19,5,1,1,0,0,1,30,11,20,31,19,8
week 8,49,25,24,0,3,3,4,3,4,13,1,3,0,1,0,2,6,24,11,3,1,1,0,4,45,24,25,49,37,7
week 9,85,40,45,0,2,5,1,3,7,27,3,4,0,2,2,3,10,43,19,2,2,2,0,4,81,44,41,85,73,8
week 10,110,49,61,1,1,5,9,3,9,21,2,4,0,3,1,7,14,46,32,4,1,1,1,11,98,61,49,110,93,6
week 11,77,46,31,0,2,2,7,0,4,13,5,6,0,0,1,3,7,45,17,2,1,1,0,5,72,53,24,77,67,5
week 12,95,44,51,0,3,3,2,4,5,23,5,4,1,0,0,6,12,43,26,3,1,3,0,1,94,50,45,95,83,6
week 13,103,44,59,0,2,7,1,1,3,20,4,5,0,1,1,3,14,52,22,4,4,1,1,5,98,56,47,103,90,6
week 14,122,46,76,0,6,1,6,0,9,27,3,9,0,3,1,5,16,54,31,4,5,2,1,6,116,85,37,122,117,3
week 15,174,80,94,0,4,9,12,5,8,30,4,7,0,1,2,11,18,66,48,13,9,5,1,4,170,113,61,174,166,4
week 16,174,76,98,0,11,2,10,10,14,32,3,9,0,1,1,10,20,77,40,9,7,5,4,5,168,119,55,174,168,2
week 17,201,84,117,1,8,3,17,6,7,42,5,3,0,3,2,10,11,90,61,5,11,6,2,5,196,110,91,201,195,1
week 18,143,79,64,0,4,2,8,3,7,19,0,2,0,0,3,8,24,57,28,8,7,6,2,4,139,80,63,143,139,0
week 19,135,60,74,0,1,2,3,11,2,29,3,1,2,0,4,6,11,51,41,4,5,7,4,4,130,75,60,135,130,0
week 20,89,51,38,0,1,1,6,1,3,19,1,0,0,0,0,5,9,37,27,4,0,6,1,5,84,58,31,89,87,0
week 21,42,14,28,0,0,0,0,0,1,10,1,0,0,0,0,0,6,21,7,2,1,1,4,3,39,26,16,42,42,0
week 22,45,24,21,0,0,1,0,2,1,12,0,1,1,0,0,1,6,27,8,0,0,2,0,0,45,21,24,45,42,0
week 23,17,9,8,0,0,0,0,0,0,6,0,0,0,1,0,1,1,8,3,1,1,1,0,2,15,7,10,17,17,0
week 24,15,8,7,0,0,0,0,1,0,4,0,1,0,0,1,0,2,8,3,0,0,0,1,0,15,7,8,15,15,0
week 25,6,3,3,0,0,0,0,0,1,2,0,0,0,0,0,1,1,4,0,0,0,0,0,1,5,4,2,6,6,0
week 26,5,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,5,0,5,5,0
week 27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
