epd_week,cases,male,female,lower_secondary_incomplete,upper_secondary_complete,higher_education_complete,age_1_4,age_5_9,age_10_14,	age_20_39,age_40_59,age_60_64,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
week 3,2,1,1,0,0,0,0,0,0,2,0,0,0,2,1,1,1,2,0
week 4,2,1,1,0,1,0,0,0,0,1,1,0,0,1,2,0,1,1,0
week 5,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
week 6,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
week 7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
week 8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
week 9,3,1,2,1,1,0,0,0,0,1,1,1,0,2,1,1,2,1,0
week 10,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
week 11,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0
week 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
week 14,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
week 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 17,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,1,1,2,0
week 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 20,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
week 21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
week 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
week 42,2,1,1,1,0,0,0,1,1,0,0,0,1,1,2,0,2,1,0
week 43,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
week 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
week 46,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
week 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 48,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
week 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
