epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,age_60_64,age_65_69,age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,8,4,4,0,0,0,0,0,0,3,0,1,0,0,1,0,1,5,1,0,0,0,0,0,5,2,4,6,3,2
week 2,12,7,5,0,0,1,1,0,0,1,1,2,0,0,0,1,1,3,4,1,1,0,1,0,12,2,10,12,12,0
week 3,26,14,12,0,0,0,0,0,1,11,1,1,0,0,0,1,2,13,7,1,2,0,0,0,23,10,15,24,22,0
week 4,82,44,38,0,0,0,0,1,3,19,0,0,0,2,3,0,2,45,22,3,2,3,0,0,80,41,37,78,76,0
week 5,147,67,80,0,0,1,2,1,3,13,0,4,0,2,8,9,7,68,34,7,3,6,3,1,143,69,75,143,145,0
week 6,219,104,115,0,2,2,5,3,5,29,2,6,1,2,3,9,23,100,52,7,12,5,5,2,208,150,64,214,209,2
week 7,335,148,186,0,1,4,2,5,8,28,7,7,3,3,9,7,30,143,100,14,15,8,3,2,308,257,65,320,315,2
week 8,474,225,249,0,6,2,5,8,9,57,3,6,1,11,24,28,48,183,121,18,19,12,9,4,427,345,120,462,452,1
week 9,698,322,372,0,3,9,12,1,14,48,8,5,5,16,32,48,70,273,185,23,22,16,7,8,670,570,122,685,673,3
week 10,790,341,444,0,11,1,16,4,5,36,3,6,2,17,24,49,73,326,195,31,32,32,9,8,759,735,43,772,769,5
week 11,812,374,434,1,8,5,14,7,7,31,1,10,4,7,23,64,70,275,239,36,38,39,17,4,770,771,34,798,791,5
week 12,775,359,415,0,3,2,8,3,10,55,3,9,5,10,27,53,71,291,211,32,23,40,12,6,729,748,24,763,736,6
week 13,645,304,341,1,8,7,8,2,13,49,4,9,3,7,21,42,36,202,199,43,34,41,16,7,613,613,24,631,617,4
week 14,836,401,431,0,5,1,12,1,4,29,0,10,6,12,34,47,58,278,245,54,25,51,26,3,804,806,24,825,824,5
week 15,1049,479,563,0,2,5,13,1,19,41,2,10,5,20,44,63,71,354,304,50,52,55,31,4,1002,990,48,1031,1023,7
week 16,937,395,538,0,2,6,5,3,9,31,4,10,3,14,30,53,70,340,259,57,35,56,17,5,877,869,61,923,922,1
