epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,17,7,10,0,0,2,3,0,0,4,0,3,1,0,0,2,0,8,4,1,0,1,0,1,6,5,12,17,14,3
week 2,32,13,19,1,2,0,1,2,1,3,0,4,0,0,1,1,1,16,7,3,1,2,0,0,15,11,21,32,29,3
week 3,27,9,18,0,1,1,3,4,0,6,2,2,1,0,1,2,1,13,7,1,1,0,0,2,9,7,20,27,22,5
week 4,45,27,18,1,3,2,1,1,2,6,4,6,0,2,5,2,2,16,12,3,3,0,0,3,38,15,30,45,42,3
week 5,35,12,23,1,1,0,2,2,0,7,0,2,1,2,1,1,1,13,12,2,1,1,0,1,30,17,18,35,34,1
week 6,41,14,27,0,1,1,4,0,4,4,2,6,0,1,1,2,4,12,15,4,2,0,0,1,33,8,33,41,39,2
week 7,56,23,33,0,6,1,2,2,2,11,1,7,1,3,3,5,2,22,15,2,2,1,0,4,42,18,38,56,54,2
week 8,74,36,38,1,4,3,6,5,7,12,1,6,0,1,4,3,4,26,19,6,4,4,3,1,56,28,46,74,71,3
week 9,109,47,62,1,2,2,5,4,6,13,2,9,1,3,4,6,19,34,30,6,3,1,2,6,94,43,66,109,107,2
week 10,87,44,43,1,0,3,4,2,8,7,1,6,1,4,2,8,7,38,24,2,1,0,0,3,81,48,39,86,86,1
week 11,81,37,44,0,2,1,8,1,2,12,2,2,2,0,2,4,13,37,23,0,0,0,0,4,71,54,27,81,81,0
week 12,77,29,48,0,0,2,2,0,2,7,2,3,2,1,2,5,10,22,24,4,5,1,1,5,69,34,43,77,77,0
week 13,82,38,44,0,3,1,4,3,7,6,1,7,1,0,2,7,5,35,26,2,1,2,1,4,71,48,34,82,78,4
week 14,81,39,42,0,5,1,5,1,2,8,1,5,0,2,11,5,5,30,19,5,0,4,0,4,72,45,36,81,81,0
week 15,92,37,55,0,1,6,4,3,5,11,0,3,3,2,6,6,8,29,31,4,2,1,0,1,82,34,58,92,90,2
week 16,78,31,47,0,4,3,4,2,6,7,0,1,0,1,4,4,7,24,23,3,2,5,5,1,66,30,48,78,78,0
week 17,120,50,70,0,6,2,7,2,6,11,5,6,0,5,1,4,8,49,37,5,5,4,2,6,106,39,81,120,120,0
week 18,57,28,29,0,2,1,7,1,4,6,2,6,1,0,0,6,7,16,20,2,3,1,1,3,54,21,36,57,57,0
week 19,30,14,16,0,1,0,0,1,2,2,1,3,0,0,1,2,3,10,10,3,0,1,0,1,29,13,17,30,30,0
week 20,32,10,22,0,2,3,1,3,0,5,2,3,0,1,2,4,2,7,14,0,0,2,0,1,31,12,20,32,32,0
week 21,29,14,15,0,1,0,5,0,1,4,1,1,1,0,2,1,6,9,6,1,1,1,1,0,29,12,17,29,29,0
week 22,40,21,19,0,1,2,5,1,2,10,1,8,0,1,1,7,2,16,11,1,0,0,1,1,39,8,32,40,39,1
week 23,16,10,6,0,0,0,1,3,0,2,1,4,0,0,2,2,0,5,6,0,0,1,0,0,16,3,13,16,16,0
week 24,5,3,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,0,5,3,2,5,5,0
week 25,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,1,3,3,0
week 26,4,3,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,4,2,2,4,4,0
week 27,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,3,3,3,0
week 28,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,2,2,0
week 29,4,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,3,1,3,4,3,1
week 30,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,4,3,1,4,4,0
week 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
week 34,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
week 35,4,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,4,2,2,4,4,0
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,2,2,0
week 38,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
week 39,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
week 40,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
week 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 42,5,2,3,0,0,0,0,1,2,1,0,0,0,0,1,0,2,2,0,0,0,0,0,1,4,3,2,5,5,0
week 43,3,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,3,2,1,3,3,0
week 44,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,2,2,0
week 45,4,1,3,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4,3,1,4,3,1
week 46,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3,0,3,3,0
