epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured
week 1,4,2,2,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,4,2,2,4
week 2,8,3,5,1,0,1,0,2,1,0,0,1,0,0,1,2,3,1,0,0,0,0,8,6,2,8
week 3,7,2,5,0,1,0,1,0,0,0,1,1,0,0,0,0,1,3,0,1,1,0,7,3,4,7
week 4,7,2,5,1,0,0,0,1,1,0,0,1,1,1,0,0,1,3,0,0,0,0,7,6,1,7
week 5,11,4,7,1,0,0,1,0,1,2,1,0,3,1,1,1,3,2,0,0,0,0,11,6,5,11
week 6,12,4,8,0,0,1,1,4,1,0,1,0,1,0,1,4,3,3,0,0,0,0,12,10,2,12
week 7,10,4,6,1,2,0,0,0,3,0,0,0,0,0,0,1,4,2,1,0,2,0,10,5,5,10
week 8,16,6,10,0,1,1,1,1,3,2,0,0,1,0,2,1,6,4,1,1,0,1,15,4,12,16
week 9,13,4,9,0,0,2,0,1,3,1,2,0,0,1,0,2,5,4,1,0,0,1,12,5,8,13
week 10,29,10,19,0,1,3,3,2,4,1,2,0,2,1,1,3,13,5,3,1,0,1,28,10,19,28
week 11,19,7,12,0,1,0,0,2,5,0,2,0,0,1,0,2,10,4,2,0,0,0,19,11,8,19
week 12,18,8,10,0,2,2,1,0,4,1,1,0,0,0,1,1,8,6,0,1,1,0,18,9,9,18
week 13,17,8,9,0,0,3,0,2,6,0,2,0,0,2,3,0,7,4,1,0,0,0,17,6,11,17
week 14,30,12,18,0,0,1,2,6,10,2,1,1,0,0,0,5,16,5,2,0,1,0,30,14,16,30
week 15,23,10,13,0,1,1,0,2,10,0,2,0,1,0,0,2,13,5,1,0,1,1,22,10,13,22
