epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured
week 1,5,2,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,3,0,0,0,0,0,5,3,2,5
week 2,7,3,4,0,0,0,0,1,1,2,0,0,0,0,1,0,1,3,2,0,0,0,0,0,7,5,2,7
week 3,3,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,0,3
week 4,6,3,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,4,1,0,0,0,0,0,6,5,1,6
week 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 6,9,3,6,0,0,0,1,0,1,1,0,0,0,0,0,0,1,4,2,0,0,1,1,0,9,1,8,9
week 7,8,3,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,1,1,0,1,7,4,4,8
week 8,22,10,12,1,2,0,3,1,2,1,0,1,0,0,1,2,1,8,4,1,2,3,0,0,22,12,10,22
week 9,22,7,15,0,2,1,0,0,1,3,0,2,0,0,1,3,2,6,6,1,1,2,0,0,21,8,14,22
week 10,51,25,26,0,3,1,1,2,1,11,0,0,0,1,3,9,7,11,19,1,0,0,0,1,50,22,29,51
week 11,78,39,39,0,6,2,1,3,1,14,1,2,0,1,4,5,7,26,23,5,3,4,0,2,76,26,52,78
week 12,134,58,76,0,3,2,6,2,12,29,4,1,2,2,5,9,13,44,43,6,7,2,1,2,132,59,75,134
week 13,204,86,118,0,4,2,3,3,9,30,6,11,0,1,7,5,22,80,66,8,6,8,1,1,202,94,110,203
week 14,265,137,128,0,1,10,7,11,15,36,4,11,2,5,12,14,29,102,80,9,3,8,1,3,262,133,132,265
week 15,289,141,148,1,6,4,10,18,11,42,9,11,2,4,14,15,27,103,78,19,13,9,5,3,284,130,159,289
week 16,264,128,136,0,4,10,10,10,14,59,8,17,0,2,13,18,17,111,64,12,14,11,2,2,261,144,120,264
week 17,381,169,211,0,9,5,14,16,15,50,8,15,2,8,12,28,26,140,107,28,10,10,10,7,366,190,191,381
week 18,309,134,173,0,7,7,12,15,10,49,8,11,2,5,14,26,25,119,93,10,6,5,4,4,300,151,158,308
week 19,375,182,191,0,7,3,12,11,13,47,8,11,5,11,13,26,24,137,108,19,13,13,6,20,353,192,183,373
week 20,237,99,137,0,1,1,2,1,9,19,7,4,2,6,10,20,17,89,64,11,8,6,4,4,230,142,95,237
week 21,195,91,104,1,1,1,4,3,5,19,5,5,1,7,19,10,17,74,46,6,7,6,2,6,189,101,94,195
week 22,126,66,60,0,0,1,1,0,2,19,2,2,3,3,7,10,9,55,32,2,3,1,1,1,124,59,67,126
week 23,113,47,65,0,1,0,4,3,4,20,0,2,1,2,7,4,9,46,24,9,4,6,1,6,107,63,50,113
week 24,72,33,39,0,0,1,0,0,2,12,0,3,0,2,2,5,6,29,20,2,4,2,0,0,72,38,34,72
week 25,80,38,42,0,0,0,1,3,3,9,0,0,0,5,5,0,7,41,15,2,3,2,0,0,79,46,34,80
week 26,62,30,32,0,2,1,0,1,2,8,1,0,0,1,7,2,3,21,21,3,3,1,0,1,59,34,28,62
week 27,51,23,28,0,0,0,0,1,1,3,0,0,0,0,3,7,2,20,15,1,0,3,0,2,49,32,19,51
week 28,52,26,26,0,0,0,1,1,0,1,2,0,1,3,8,2,5,20,12,0,0,1,0,2,49,25,27,52
week 29,33,18,15,0,0,0,2,0,0,1,0,0,0,2,0,2,3,17,7,2,0,0,0,1,28,22,11,33
week 30,48,28,20,0,1,0,2,0,4,4,0,4,0,4,5,3,4,14,14,3,0,0,1,3,45,25,23,48
week 31,41,24,17,0,0,0,4,0,1,4,2,1,0,1,2,1,5,15,13,1,0,3,0,1,39,27,14,41
week 32,34,13,21,0,0,0,0,0,0,0,0,0,2,1,7,7,5,8,4,0,0,0,0,1,33,26,8,34
week 33,21,11,10,0,0,1,0,0,0,0,1,0,0,1,5,1,2,7,2,1,1,1,0,1,20,16,5,21
week 34,26,13,13,0,1,1,4,2,0,1,1,1,0,1,5,3,1,5,10,1,0,0,0,0,26,15,11,26
week 35,33,21,12,0,0,0,3,0,0,0,0,0,0,0,6,7,5,8,2,1,1,2,1,0,32,20,13,33
week 36,17,8,9,0,1,0,1,0,0,2,1,0,0,1,3,1,2,7,1,0,0,1,1,0,17,11,6,17
week 37,17,11,6,0,0,0,3,0,0,6,0,0,0,1,1,3,0,10,1,0,1,0,0,0,17,9,8,17
week 38,5,1,4,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,3,5
