epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,9,5,4,0,0,0,1,0,1,0,0,0,0,1,1,0,4,3,0,0,0,0,2,7,8,1,9,9,0
week 2,38,20,18,0,0,0,0,0,5,0,2,0,1,0,1,3,17,10,3,0,3,0,0,36,30,8,38,38,0
week 3,56,24,32,0,0,1,0,2,4,0,1,2,0,2,3,1,18,21,3,2,2,2,2,53,46,10,56,56,0
week 4,103,58,45,0,1,5,2,2,9,0,1,1,8,4,9,6,43,20,6,2,2,2,2,88,84,19,102,102,1
week 5,182,100,82,1,2,3,7,10,11,2,9,6,7,9,18,14,73,41,4,3,4,3,3,173,171,11,181,182,0
week 6,273,116,157,5,0,6,10,12,24,5,6,5,14,14,16,14,113,69,10,9,4,5,2,271,258,15,273,273,0
week 7,292,119,173,2,3,5,6,9,36,4,6,6,11,14,15,24,115,75,11,6,9,6,3,288,279,13,292,290,2
week 8,283,116,167,3,1,17,5,13,32,5,5,8,12,10,12,32,108,80,8,7,4,2,6,277,254,29,283,280,3
week 9,237,110,127,2,1,5,5,6,22,5,2,1,12,15,20,21,86,54,11,3,9,5,3,234,200,37,237,237,0
week 10,267,125,142,3,1,6,3,7,18,3,7,1,7,33,15,16,96,70,8,10,8,3,6,261,225,42,267,267,0
week 11,281,110,171,0,3,10,2,4,26,1,6,0,9,26,30,24,101,61,9,7,12,2,10,271,228,53,280,280,1
week 12,380,178,202,2,1,10,7,13,30,2,4,11,22,22,38,23,136,80,16,14,12,6,7,373,355,25,379,380,0
week 13,407,194,213,3,2,4,1,7,28,7,5,4,13,21,31,29,150,107,16,10,21,5,12,395,390,17,407,407,0
week 14,451,220,231,5,3,15,4,12,37,7,11,6,14,25,29,49,178,98,15,14,20,3,11,440,420,31,451,451,0
week 15,632,293,339,2,2,10,11,14,32,10,11,2,20,37,43,47,237,163,30,17,26,10,9,623,606,26,632,632,0
week 16,573,277,296,2,3,13,4,19,33,4,6,6,27,38,55,49,192,140,20,17,19,10,14,559,533,40,573,573,0
week 17,792,382,410,6,6,9,9,13,69,7,9,14,39,56,70,59,260,187,34,25,29,19,20,772,753,39,792,792,0
week 18,849,397,452,10,4,19,10,17,57,11,10,10,39,58,57,62,294,201,50,34,29,15,20,829,811,38,848,849,0
week 19,1037,437,600,4,4,7,18,18,69,3,12,13,40,71,83,87,356,255,50,33,30,19,34,1003,1000,37,1037,1037,0
week 20,1204,531,673,9,6,21,8,17,84,3,15,17,51,78,107,106,383,282,67,43,50,20,38,1165,1142,62,1204,1203,1
week 21,1153,505,648,7,6,21,12,18,88,16,22,16,41,81,84,87,380,291,51,45,58,19,36,1116,1096,57,1151,1153,0
week 22,728,365,363,4,6,13,6,23,49,9,20,3,24,38,51,52,242,213,22,29,34,20,20,708,690,38,725,727,0
week 23,564,266,298,5,2,10,2,6,31,4,10,6,21,45,46,40,186,151,20,16,20,13,16,548,533,31,564,564,0
week 24,572,258,314,5,3,8,4,10,42,2,11,6,27,43,46,44,200,140,23,23,11,9,12,560,532,40,572,572,0
week 25,537,238,299,3,4,13,2,11,33,1,5,2,28,40,56,51,170,128,21,10,24,7,14,523,502,35,535,537,0
week 26,511,248,263,1,1,8,5,12,31,5,5,2,23,45,52,52,182,99,20,14,16,6,13,498,488,23,511,511,0
week 27,396,192,204,5,0,8,3,9,42,5,9,2,18,16,30,45,141,106,18,4,12,4,9,387,375,21,395,396,0
week 28,251,132,119,1,1,2,2,4,20,1,9,4,6,19,11,26,91,61,9,11,9,4,6,245,238,13,251,251,0
week 29,188,100,88,0,0,3,1,4,12,1,4,2,12,8,15,16,77,43,5,3,6,1,2,186,178,10,188,188,0
week 30,194,81,113,0,0,2,3,4,15,0,2,2,18,14,8,20,71,41,7,6,6,1,5,189,182,12,194,194,0
week 31,141,63,78,2,0,6,3,5,11,1,0,4,7,7,10,14,49,37,6,3,3,1,3,138,133,8,141,141,0
week 32,158,81,77,1,0,1,1,3,17,2,4,4,9,13,12,18,57,35,1,2,5,2,3,155,153,5,158,158,0
week 33,124,60,64,2,1,4,0,2,9,3,5,0,6,6,9,7,58,33,2,1,1,1,2,122,118,6,124,124,0
week 34,151,60,91,1,0,0,2,0,17,1,3,0,4,6,9,17,69,37,4,2,0,3,0,151,147,4,151,151,0
week 35,115,59,56,1,0,3,1,4,6,1,0,2,7,12,10,13,49,18,2,0,2,0,0,115,108,7,115,115,0
week 36,146,64,82,1,0,0,3,1,15,2,4,5,4,16,17,12,57,25,5,1,4,0,0,146,143,3,144,146,0
week 37,143,69,74,1,0,1,2,5,13,0,3,3,10,10,19,16,56,22,3,3,1,0,1,142,138,5,139,143,0
week 38,143,69,74,0,1,2,0,4,12,2,2,7,9,13,8,19,50,30,2,1,2,2,1,142,137,6,143,143,0
week 39,148,64,84,2,0,4,3,7,13,3,3,7,10,13,13,19,56,22,1,4,3,0,0,148,142,6,145,148,0
week 40,107,50,57,0,0,4,2,4,15,4,3,1,3,7,12,16,41,22,2,2,0,1,0,107,96,11,106,107,0
week 41,107,45,62,0,0,2,1,2,11,2,2,5,5,8,10,14,45,14,3,0,2,1,1,106,92,15,107,107,0
week 42,131,55,76,2,0,3,1,2,9,0,5,3,10,13,15,11,54,19,2,3,1,0,0,131,126,5,131,131,0
week 43,121,64,57,1,1,1,0,5,8,0,2,2,8,11,13,21,46,17,0,3,0,0,1,120,120,1,121,121,0
week 44,123,56,67,0,0,1,1,3,15,3,1,0,8,10,9,12,56,26,1,0,0,1,0,123,120,3,123,123,0
week 45,100,50,50,0,0,4,0,3,11,0,1,1,10,11,5,15,39,17,1,1,0,0,0,100,96,4,100,100,0
week 46,99,52,47,1,1,2,2,1,12,1,2,3,4,13,9,10,41,15,1,2,1,0,0,99,96,3,99,99,0
week 47,104,47,57,0,0,2,0,5,11,2,3,6,7,10,3,16,42,16,2,2,0,0,0,104,97,7,104,103,0
week 48,74,34,40,0,0,2,1,1,4,0,0,3,5,0,9,8,36,13,0,0,0,0,0,74,69,5,74,74,0
week 49,25,9,16,0,0,1,1,2,0,1,0,0,0,1,5,3,13,2,1,0,0,0,0,25,24,1,25,25,0
week 50,16,10,6,0,0,0,0,0,1,0,1,0,1,1,1,0,3,6,0,0,3,1,0,16,11,5,15,16,0
week 51,17,7,10,1,0,2,0,0,2,0,0,0,0,2,1,1,4,7,0,0,2,0,0,17,15,2,17,17,0
week 52,16,7,9,0,0,1,1,1,2,0,0,0,1,1,2,1,5,3,2,1,0,0,4,12,11,5,16,16,0
