epd_week,cases,male,female,primary_incomplete,	lower_secondary_incomplete,upper_secondary_incomplete,	upper_secondary_complete,higher_education_complete,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,hospitalization_yes,	hospitalization_no,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
week 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 5,3,1,2,1,0,0,1,1,0,0,0,1,2,0,1,1,3,2,1,2
week 6,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
week 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 8,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
week 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 11,5,2,3,0,0,1,0,0,0,0,0,2,2,1,0,0,2,1,1,0
week 12,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
week 13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
week 14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
week 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 16,2,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0
week 17,4,2,2,0,0,0,1,0,0,0,0,4,0,0,0,1,2,2,1,1
week 18,3,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
week 19,5,2,3,0,0,0,1,0,1,0,0,0,4,0,0,3,3,2,3,0
week 20,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0
week 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 23,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0
week 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 39,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
week 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 42,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
week 43,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
week 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 52,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
