epd_week,cases,male,female,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
week 2,4,2,2,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,0,2,2,0,1
week 3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
week 4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
week 5,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,2,2,1
week 6,4,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,3,2,3,0
week 7,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,2,0,4,2,4,0
week 8,17,5,12,0,0,0,0,0,0,0,0,0,0,0,1,9,4,2,0,1,0,0,6,1,11,11,4,1
week 9,16,8,8,0,0,0,0,1,0,0,1,1,0,0,0,8,4,0,2,0,0,1,4,0,15,15,6,0
week 10,16,6,10,0,0,1,0,0,0,0,1,0,0,2,1,4,5,0,3,0,0,0,2,1,8,9,3,0
week 11,18,10,8,0,0,0,1,1,1,1,0,0,0,1,5,7,3,0,0,2,0,1,6,1,9,10,8,0
week 12,15,5,10,0,0,0,0,0,0,1,0,0,0,2,2,4,5,1,0,1,0,1,6,1,11,11,9,0
week 13,24,4,20,1,0,0,0,0,0,0,2,2,1,2,4,7,5,0,1,0,0,0,11,0,18,16,18,0
week 14,15,8,7,0,0,0,0,0,0,0,1,1,0,0,0,6,4,1,1,1,0,1,8,1,12,13,10,0
week 15,23,10,13,0,0,0,0,0,0,0,0,1,0,2,2,9,7,1,0,1,0,1,15,6,14,18,14,0
week 16,20,8,12,0,0,0,0,0,0,0,0,1,0,0,3,9,7,0,0,0,0,0,15,3,17,20,15,1
week 17,22,10,12,0,0,0,0,0,0,0,2,0,2,1,1,8,6,1,0,0,1,1,16,4,17,19,15,0
week 18,13,7,6,0,0,0,0,0,0,0,0,0,1,1,0,6,3,1,1,0,0,1,8,0,10,10,9,0
week 19,4,3,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,3,0,3,3,3,0
week 20,14,6,8,0,0,0,0,0,0,0,0,1,1,3,0,8,0,0,0,1,0,0,13,7,6,13,12,0
week 21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
week 22,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,2,2,0
week 23,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,3,0,4,4,4,0
week 24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
week 25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
week 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
