epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,19,7,12,0,0,0,0,0,0,0,0,1,1,2,0,0,8,4,1,1,1,0,0,18,8,9,13,18,0
week 2,25,15,10,0,0,0,0,0,0,0,0,1,0,1,3,5,7,8,0,0,0,0,0,23,6,17,22,23,0
week 3,48,23,25,0,0,1,1,3,1,0,0,0,0,1,1,4,25,11,2,2,2,0,2,35,21,23,43,36,0
week 4,138,68,70,0,0,0,0,1,3,0,0,1,4,5,13,11,58,34,1,2,9,0,4,123,78,58,95,87,5
week 5,159,70,89,0,0,0,0,1,1,0,0,2,4,7,18,14,49,50,5,4,3,3,3,148,147,9,112,106,6
week 6,250,106,144,0,0,0,2,3,4,0,0,5,12,13,12,14,105,70,8,4,3,4,3,238,244,0,232,238,4
week 7,191,86,105,0,0,0,0,0,0,0,0,5,9,8,9,17,78,43,8,2,7,5,1,182,184,1,180,178,1
week 8,281,130,151,0,0,0,0,1,2,0,0,1,8,9,12,22,119,74,11,6,15,4,7,253,240,24,249,255,4
week 9,335,164,171,0,0,0,0,0,0,0,0,5,12,18,23,29,120,92,18,3,13,1,10,303,216,105,309,315,8
week 10,315,160,155,1,0,0,0,0,1,0,0,5,12,17,18,14,121,89,16,8,9,6,7,263,244,55,267,284,7
week 11,223,111,112,0,2,0,0,2,1,0,0,1,6,7,10,15,70,78,10,6,17,3,10,186,104,110,190,195,18
week 12,215,94,121,0,0,0,0,1,1,0,0,6,3,6,7,20,80,62,9,5,14,3,8,178,110,88,182,179,14
week 13,198,97,101,0,0,0,0,0,1,0,0,1,5,6,5,15,71,54,9,6,11,15,21,164,92,97,184,110,72
week 14,199,105,94,0,0,0,0,1,1,0,0,1,1,13,14,13,57,59,13,8,12,8,11,182,120,73,190,143,41
week 15,178,84,94,0,0,0,0,0,1,0,1,6,2,8,14,15,55,40,11,5,15,7,14,152,109,60,168,137,31
week 16,155,68,87,0,0,0,0,0,2,1,0,1,0,3,7,17,52,45,2,11,9,8,11,131,75,69,144,109,33
week 17,164,71,93,0,0,1,0,6,0,0,1,3,1,5,9,9,54,51,14,8,7,3,7,146,89,70,157,113,31
week 18,117,61,56,0,0,0,1,0,0,0,1,1,1,4,5,9,29,37,10,6,10,5,4,104,67,40,106,59,46
week 19,101,40,61,0,0,0,0,0,0,0,0,0,0,8,7,7,23,35,8,2,8,3,4,94,72,28,97,86,12
week 20,97,48,49,0,0,0,0,0,0,0,0,1,0,4,8,2,34,27,4,5,9,3,8,79,37,53,89,72,12
week 21,68,40,28,0,0,0,0,1,1,0,0,0,2,0,3,4,28,20,1,5,1,4,3,58,42,20,63,20,43
week 22,51,22,29,1,0,1,1,0,1,0,0,1,0,2,3,4,18,13,0,2,6,2,3,44,29,15,44,36,12
week 23,52,20,32,0,0,0,0,0,1,0,0,0,1,1,2,4,23,10,2,3,5,1,4,43,18,29,46,40,8
week 24,16,5,11,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,2,0,2,0,2,12,10,4,14,6,8
week 25,24,11,13,1,0,0,0,0,1,0,0,0,0,1,1,2,12,5,1,0,2,0,0,22,16,4,20,15,7
week 26,4,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3,3,1,3,1,3
week 27,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1,5,2,4,6,1,5
week 28,9,5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,0,1,1,0,0,9,3,5,8,3,6
week 29,6,2,4,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,6,3,2,5,3,3
week 30,7,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,7,5,2,7,2,5
week 31,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,5,4,1,5,5,0
week 32,11,5,6,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,0,0,0,0,1,10,4,7,11,7,3
week 33,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1,3,2,1
week 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
week 38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
week 39,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0
week 40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
week 41,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,3,0
week 42,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,1,0
week 43,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0
week 44,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,2,0
week 45,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,2,2,4,4,0
week 46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
week 47,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,2,1,0
week 48,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,4,1,2,3,3,0
week 49,7,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,7,3,4,7,7,0
week 50,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,2,2,0
week 51,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,2,4,3,1
week 52,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,2,1,0
