epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,240,100,140,0,0,0,2,6,0,6,0,0,0,3,4,10,19,85,84,16,10,9,0,5,202,169,69,236,237,1
week 2,425,184,241,0,3,3,4,13,5,13,0,1,3,4,22,31,40,165,108,26,17,5,4,7,378,309,116,425,422,2
week 3,618,312,306,0,4,3,9,8,6,7,2,0,1,6,25,48,62,229,159,41,22,17,8,9,536,501,117,615,612,2
week 4,663,281,382,0,0,1,3,7,7,5,1,2,2,22,25,38,62,249,172,39,20,23,11,21,540,572,91,660,654,5
week 5,470,202,268,0,1,2,2,5,4,2,0,0,1,20,33,40,38,144,134,27,15,15,3,8,439,369,101,466,463,2
week 6,468,224,244,0,1,1,0,1,1,4,6,0,2,13,11,37,55,158,131,23,17,16,5,12,419,372,96,462,463,1
week 7,444,210,234,0,2,0,1,0,2,3,0,1,0,8,16,34,39,156,120,28,22,13,8,3,421,382,61,439,430,3
week 8,531,236,294,0,0,0,2,1,0,2,1,1,5,17,23,45,44,179,145,22,20,23,8,6,492,452,79,525,517,0
week 9,664,313,351,0,2,1,6,0,4,4,2,0,4,25,36,60,50,190,185,42,25,34,13,14,628,580,84,651,651,2
week 10,626,289,337,0,1,1,0,3,3,1,1,3,1,10,20,50,44,213,177,35,25,39,11,9,611,599,26,618,611,6
week 11,563,247,316,1,1,0,3,0,0,1,1,1,1,3,7,32,53,206,175,33,23,24,6,12,543,537,26,560,551,5
week 12,496,234,262,0,0,1,1,0,0,0,0,1,0,4,10,33,45,181,151,20,16,25,11,13,478,475,21,491,474,2
week 13,266,127,139,0,0,0,1,0,0,3,0,0,1,1,2,12,34,102,84,8,10,11,1,5,254,242,24,264,248,2
week 14,296,149,147,0,1,1,0,0,0,1,3,1,2,1,2,19,35,125,79,15,3,14,1,4,283,273,23,294,265,2
week 15,293,114,179,0,0,0,0,0,1,2,0,0,1,3,9,20,33,96,89,13,7,19,3,4,285,264,28,288,258,0
week 16,274,124,150,0,0,0,0,0,0,1,0,1,1,3,3,16,29,120,75,10,8,8,1,1,272,255,19,268,223,3
week 17,275,120,154,0,0,0,2,0,0,0,0,2,1,2,6,15,16,99,98,14,11,8,5,2,266,257,18,272,217,2
week 18,190,100,90,0,0,0,0,0,0,0,0,1,0,0,9,15,26,55,61,8,7,7,2,3,181,180,10,190,181,2
