epd_week,cases,male,female,lower_secondary_incomplete,upper_secondary_incomplete,	upper_secondary_complete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,25,13,12,0,0,0,0,0,0,0,1,2,10,9,1,0,2,0,0,25,23,2,25,22,0
week 2,14,9,5,0,0,0,0,0,0,1,1,2,8,1,0,0,1,0,0,14,14,0,14,14,0
week 3,24,7,17,0,0,0,0,0,0,0,1,2,10,6,3,0,1,1,0,24,24,0,24,22,0
week 4,24,10,14,1,0,1,0,0,1,1,1,4,9,4,2,1,0,1,0,23,23,1,24,23,0
week 5,26,15,11,0,0,0,1,0,0,0,0,1,13,7,4,0,1,0,1,24,20,6,26,24,0
week 6,30,17,13,0,0,0,0,0,0,0,3,3,12,9,1,2,0,0,0,30,28,2,29,30,0
week 7,61,18,43,0,0,0,0,0,2,0,3,11,21,22,1,1,0,0,0,59,58,3,61,59,0
week 8,55,16,39,0,1,0,0,0,0,1,2,9,25,15,1,0,2,0,1,54,52,3,55,53,1
week 9,43,20,23,0,0,0,0,1,0,0,2,10,12,16,2,0,0,0,1,42,42,1,43,40,0
week 10,41,16,25,0,0,0,0,1,1,2,2,6,14,11,0,3,1,0,0,41,33,8,41,37,0
week 11,32,14,18,0,0,0,0,0,0,0,2,1,17,7,2,2,1,0,0,32,30,2,32,30,1
week 12,28,11,17,0,0,0,0,0,0,0,2,8,13,4,1,0,0,0,1,27,28,0,28,26,0
week 13,51,22,29,0,0,1,0,0,0,1,1,7,24,14,2,2,0,0,0,51,50,1,51,45,0
week 14,48,27,21,0,0,1,0,0,1,0,4,6,20,10,4,1,1,1,0,48,45,3,48,45,1
week 15,41,22,19,0,0,0,0,0,0,1,2,3,21,12,1,0,1,0,0,41,41,0,40,36,0
week 16,19,7,12,0,0,0,0,0,1,0,1,1,11,4,0,0,1,0,0,19,19,0,19,19,0
week 17,25,11,14,0,0,0,0,1,0,0,1,3,10,7,2,0,1,0,1,23,25,0,25,23,0
week 18,12,5,7,0,0,0,0,1,0,1,1,3,4,1,0,1,0,0,0,12,10,2,12,11,0
week 19,11,8,3,0,0,0,0,0,0,0,0,1,5,3,1,1,0,0,0,11,11,0,11,11,0
week 20,16,6,10,0,0,0,0,0,1,2,0,2,6,1,0,2,1,1,0,16,5,11,16,16,0
week 21,3,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,0,3,3,0
week 22,3,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,3,0,3,3,0
week 23,4,1,3,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4,4,0,4,4,0
week 24,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
week 25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
week 26,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
week 27,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,2,2,0
week 28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
week 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 30,3,1,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,3,0
week 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 33,3,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,0,2,3,0
week 34,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,2,2,0
week 35,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 38,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,2,2,0
week 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
week 42,3,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,0,3,3,0
week 43,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,2,1,0
week 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 47,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
week 48,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
week 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
