epd_week,cases,male,female,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_1_4,age_10_14,age_15_19,	age_20_39,age_40_59,age_65_69,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 3,2,2,0,0,0,1,0,0,0,0,2,0,0,2,2,2,0,2,2,2
week 4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1
week 5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
week 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 7,2,1,1,0,0,0,1,0,0,0,1,1,0,1,2,1,1,2,2,2
week 8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1
week 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 11,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1
week 12,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1
week 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 18,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
week 19,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
week 20,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
week 21,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
week 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 41,2,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,2,1,2,2
week 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 45,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
week 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 51,2,0,2,0,1,0,0,0,0,1,0,0,1,1,2,1,1,2,1,2
week 52,4,2,2,0,0,0,0,0,0,1,3,0,0,4,4,2,2,4,2,4
