epd_week,cases,male,female,primary_incomplete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured
week 1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2,3,0,3
week 2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,2
week 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
week 5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
week 6,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,2
week 7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,2,1,3
week 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,2
week 10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,1,3
week 11,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2
week 12,6,2,4,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,0,0,0,0,6,6,0,6
week 13,7,4,3,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,7,6,1,7
week 14,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,7,6,1,7
week 15,12,3,9,0,0,0,0,0,0,0,0,0,0,1,1,7,3,0,0,0,0,0,10,11,1,12
week 16,11,8,3,0,0,0,0,5,0,0,0,0,0,1,0,5,3,0,2,0,0,0,11,10,1,11
week 17,19,9,10,0,0,1,1,1,0,0,0,0,0,1,3,9,5,0,0,0,1,0,19,15,4,19
week 18,37,13,24,0,0,0,0,1,0,1,0,0,0,2,2,15,16,0,1,0,1,0,35,34,3,37
week 19,32,12,20,1,0,0,0,0,1,0,0,0,3,0,4,17,5,2,0,0,1,1,31,28,4,32
week 20,29,12,17,0,0,0,0,0,0,0,0,0,0,0,2,11,9,3,1,1,2,1,28,26,3,29
week 21,53,24,29,0,0,0,0,1,0,0,0,0,2,4,6,22,11,3,1,4,0,0,52,50,3,53
week 22,31,16,15,1,0,0,0,0,0,0,0,0,0,3,3,13,9,2,1,0,0,2,28,30,1,30
week 23,14,5,9,0,0,0,0,0,0,1,0,1,0,1,1,7,3,1,0,0,0,0,11,10,4,14
week 24,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,9,8,1,9
week 25,8,3,5,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,8,8,0,8
week 26,8,3,5,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0,0,8,5,3,8
week 27,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,3,1,4
week 28,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,3,0,2
week 29,3,2,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,3,0,2
week 30,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4,1,3,4
week 31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
week 32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
week 33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
week 34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
week 35,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,2
week 36,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1
week 37,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,2
week 38,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
week 39,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2
week 40,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,2
week 41,3,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,2,1,3
week 42,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,2
week 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
week 45,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
week 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,2
week 49,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
week 50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
week 51,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
week 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
