epd_week,cases,male,female,primary_complete,upper_secondary_complete,higher_education_complete,age_0,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,cases_cured
week 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
week 10,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,2
week 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 12,2,0,2,0,0,1,0,0,0,1,0,0,0,1,0,2,2
week 13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
week 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 17,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2
week 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 19,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2
week 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 21,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1
week 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 23,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
week 24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
week 25,4,3,1,0,1,0,0,1,1,1,0,1,0,0,1,3,4
week 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 28,4,3,1,0,0,0,1,0,1,2,0,0,0,0,1,3,4
week 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 34,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
week 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
