epd_week,cases,male,female,primary_incomplete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured
week 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
week 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
week 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
week 8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
week 9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
week 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 11,2,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2
week 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 13,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,2
week 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 15,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,2
week 16,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,2
week 17,7,3,4,0,1,1,0,0,0,0,1,0,5,0,1,0,0,7,1,6,7
week 18,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
week 19,4,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,4
week 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 21,5,4,1,1,0,0,1,0,0,3,0,2,0,0,0,0,0,5,1,4,5
week 22,2,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1,1,2
week 23,5,4,1,0,0,1,0,0,0,1,0,2,2,0,0,0,0,4,0,5,5
week 24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
week 25,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3
week 26,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
week 27,3,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,3
week 28,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,2
week 29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
week 30,4,1,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0,4,0,4,4
week 31,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2
week 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 33,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
week 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 35,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
week 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 37,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,2
week 38,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
week 39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 46,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
week 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 50,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
week 51,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
week 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
