epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,474,224,250,1,0,0,0,2,1,0,2,0,4,17,27,37,187,140,23,12,22,5,8,445,345,129,474,214,10
week 2,496,230,266,0,0,2,0,0,2,2,5,1,7,14,30,39,199,131,31,19,20,5,19,441,406,90,495,243,3
week 3,625,268,357,0,0,4,0,0,8,0,0,0,10,27,25,43,238,178,34,20,34,16,19,571,542,83,624,334,1
week 4,516,232,284,3,3,0,0,1,2,0,3,2,7,20,39,44,181,135,26,23,30,9,20,477,457,59,515,312,0
week 5,563,255,308,0,0,0,1,1,2,0,1,1,14,32,36,45,173,165,27,39,21,10,23,431,538,25,563,330,3
week 6,500,241,259,1,0,0,0,1,4,0,2,1,9,23,35,38,191,127,20,17,25,14,35,447,473,27,497,314,2
week 7,471,180,291,0,0,2,1,0,3,0,3,2,11,24,23,37,139,157,28,23,21,6,26,430,459,12,470,262,4
week 8,453,214,238,0,0,0,1,0,2,0,2,2,10,20,41,33,164,112,23,23,17,8,27,376,440,13,452,300,2
week 9,610,285,325,1,1,0,0,0,8,0,3,2,15,26,41,50,229,167,29,18,26,7,28,512,598,12,606,409,1
week 10,899,412,487,0,2,2,0,0,3,0,3,3,6,17,47,70,353,269,50,27,37,20,18,824,894,5,898,673,1
week 11,489,237,252,0,0,0,0,0,1,2,0,0,14,21,31,50,166,142,14,21,21,9,16,353,475,14,489,357,2
week 12,448,203,245,1,1,0,0,0,1,0,1,3,5,23,33,29,185,117,16,15,16,6,14,412,430,18,448,337,1
week 13,329,155,174,0,1,0,1,6,1,0,1,0,3,2,20,35,122,88,23,10,16,10,10,311,321,8,329,294,0
week 14,288,130,158,0,0,0,0,0,3,0,0,1,1,14,20,30,113,68,20,7,8,6,12,239,285,3,287,232,0
week 15,363,190,173,0,1,0,0,0,3,0,1,0,3,10,26,27,128,124,15,12,11,7,5,326,360,3,362,318,0
week 16,204,96,108,0,0,0,1,1,3,0,0,0,2,10,11,19,79,58,9,8,5,3,6,193,198,6,203,192,0
week 17,233,102,131,0,0,1,0,0,1,0,0,0,2,6,14,24,88,57,16,10,12,4,8,221,229,4,231,223,0
week 18,139,67,72,0,0,0,0,0,0,0,0,0,5,8,8,4,55,41,8,6,3,1,1,137,136,3,139,112,1
