epd_week,cases,male,female,	lower_secondary_incomplete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,4,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,3,3,3,1,2
week 2,9,1,8,0,0,0,0,0,0,0,0,0,1,3,2,1,2,0,0,0,9,9,9,6,3
week 3,5,2,3,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,5,5,5,3,2
week 4,13,5,7,1,0,1,0,0,2,0,0,1,1,4,3,0,2,0,0,0,11,13,13,11,2
week 5,14,9,5,0,0,0,0,0,0,0,1,1,0,11,1,0,0,0,0,0,14,14,14,10,4
week 6,17,8,9,0,1,1,0,0,0,0,1,0,2,8,5,0,0,0,1,2,15,17,17,17,0
week 7,7,4,3,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,0,0,7,7,7,7,0
week 8,11,5,5,0,0,0,0,0,1,1,0,1,0,6,2,0,0,0,0,0,11,11,11,6,5
week 9,9,7,2,0,0,0,0,0,0,1,1,0,0,2,4,1,0,0,0,0,9,9,9,9,0
week 10,10,6,4,0,0,0,0,1,0,0,1,0,1,3,5,0,0,0,0,0,10,10,10,9,1
week 11,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,3,1
week 12,10,5,5,0,0,1,0,1,1,0,0,1,1,5,1,1,0,0,0,0,10,10,10,9,1
week 13,8,3,5,0,0,1,0,0,0,0,1,0,0,3,2,0,0,1,1,0,7,8,8,8,0
week 14,8,3,5,0,0,1,0,0,0,0,0,0,3,4,0,0,1,0,0,0,8,8,8,7,1
week 15,8,5,3,0,0,1,0,0,0,0,0,0,0,4,3,0,1,0,0,0,8,8,8,6,2
