epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,6,2,4,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,2,1,1,0,0,1,3,0,5,5,4,0
week 2,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,6,0,6,6,4,2
week 3,7,3,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,3,0,0,0,0,0,7,0,7,7,4,3
week 4,7,3,4,0,0,0,1,1,0,2,1,2,0,0,0,0,2,2,2,1,0,0,0,0,7,0,7,7,7,0
week 5,7,4,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,2,0,0,0,0,0,7,0,7,7,4,3
week 6,9,2,7,0,0,0,1,0,0,0,1,0,2,2,0,0,1,3,1,0,0,0,0,0,9,0,9,9,7,2
week 7,8,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0,1,7,0,8,8,7,1
week 8,11,10,1,0,0,0,1,0,0,1,1,0,0,1,0,1,2,5,0,1,1,0,0,2,9,0,11,11,11,0
week 9,12,9,3,0,0,0,0,0,1,2,0,2,0,1,0,2,1,5,0,2,1,0,0,2,10,0,12,12,9,3
week 10,8,5,3,0,0,0,0,0,2,1,1,0,0,1,0,1,1,3,0,2,0,0,0,0,8,0,8,8,7,1
week 11,13,8,5,0,0,0,0,0,0,4,0,1,1,1,1,0,0,6,2,1,1,0,0,0,12,0,13,13,9,4
week 12,19,8,11,0,0,0,0,0,3,3,0,1,0,2,2,0,1,10,4,0,0,0,0,0,18,0,19,19,18,1
week 13,18,11,7,0,1,1,1,0,3,2,0,2,0,2,0,1,1,6,4,1,2,0,1,0,17,0,18,17,15,3
week 14,13,6,7,0,0,0,0,0,0,2,0,2,0,0,1,0,1,5,4,1,1,0,0,1,11,0,13,13,12,1
week 15,17,13,4,0,0,0,0,1,1,3,0,0,2,1,0,0,1,6,5,1,1,0,0,0,17,0,17,17,12,5
week 16,16,9,7,0,1,1,0,0,2,2,1,3,1,1,1,2,1,6,4,0,0,0,0,1,15,0,16,16,14,2
week 17,35,16,19,0,0,0,0,0,2,7,2,1,1,2,1,1,3,16,7,1,0,3,0,1,28,0,35,35,33,2
week 18,29,17,11,0,1,0,1,0,0,1,0,1,1,2,4,2,4,7,7,1,0,0,1,1,28,0,29,29,22,7
week 19,40,23,17,0,0,1,0,0,2,4,1,3,0,0,0,2,2,17,8,3,6,2,0,5,35,0,40,39,35,5
week 20,33,16,17,0,0,0,0,0,1,5,1,4,0,1,0,3,4,14,9,2,0,0,0,1,32,0,33,32,30,3
week 21,46,26,20,0,0,0,1,0,0,5,1,5,0,1,0,1,7,20,15,0,1,0,1,6,39,0,46,44,36,9
week 22,40,22,18,1,0,1,0,2,1,9,1,2,1,1,1,1,4,20,8,1,1,1,1,0,40,0,40,40,32,8
week 23,27,17,10,0,0,0,0,2,1,3,0,0,2,0,3,2,3,12,4,1,0,0,0,0,26,0,27,27,24,3
week 24,14,8,6,0,0,0,0,0,0,1,2,0,0,1,0,0,0,8,5,0,0,0,0,2,12,0,14,14,12,2
week 25,23,10,13,0,2,0,1,0,0,1,0,0,3,1,2,3,3,5,5,1,0,0,0,0,23,0,23,23,18,5
week 26,23,13,10,0,0,0,0,0,1,1,0,1,0,0,0,2,1,10,9,0,1,0,0,2,21,0,23,22,20,3
week 27,18,12,6,0,0,0,0,0,0,1,1,0,1,3,1,0,1,6,4,2,0,0,0,1,17,1,17,18,14,4
week 28,24,20,4,0,0,1,0,0,0,3,0,0,1,3,1,1,3,10,5,0,0,0,0,1,22,5,19,24,21,2
week 29,7,2,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,3,0,0,0,0,0,7,2,5,7,4,2
week 30,10,8,2,0,0,0,0,0,0,2,0,1,1,1,0,0,2,4,2,0,0,0,0,1,9,0,10,10,6,4
week 31,12,8,4,0,0,0,0,0,0,1,2,0,1,1,1,1,2,5,1,0,0,0,0,1,10,2,10,12,11,1
week 32,11,7,4,0,0,0,0,0,0,1,0,1,1,4,1,1,0,1,3,0,0,0,0,0,11,0,11,11,8,3
week 33,8,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,8,3,5,8,8,0
week 34,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,5,2,3,5,5,0
week 35,5,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,5,1,4,5,4,1
week 36,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,2,1,1
week 37,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,1,1
week 38,5,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,5,0,5,5,4,1
week 39,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,1,1
week 40,4,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,1,3,4,4,0
week 41,4,2,2,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,1,0,0,0,0,1,3,1,3,4,3,0
week 42,6,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,0,0,0,0,1,5,3,3,6,4,2
week 43,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,1,2,3,1,2
week 44,9,6,3,0,0,0,1,0,0,0,0,2,0,1,4,0,1,3,0,0,0,0,0,0,8,2,7,9,5,4
week 45,12,4,7,0,0,0,0,0,1,1,0,0,1,3,1,0,2,4,1,0,0,0,0,0,10,2,10,12,11,1
week 46,9,3,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,1,0,0,1,0,8,1,8,8,7,1
week 47,9,4,5,0,0,0,0,0,0,1,0,0,1,2,1,1,2,1,1,0,0,0,0,0,7,2,7,9,8,1
week 48,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,1,2,2,0
week 49,4,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4,0,4,4,3,1
week 50,7,5,2,0,0,0,2,0,1,1,0,1,0,0,0,0,1,3,1,0,1,1,0,1,5,2,5,6,2,3
week 51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
week 52,5,4,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,2,1,0,0,0,0,0,4,3,1,4,0,0
