epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured
week 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week 2,4,3,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,4,0,4,0
week 3,5,1,4,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,4,0,5,1
week 4,7,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,0,0,1,0,7,0
week 5,8,2,6,0,0,0,0,1,2,0,0,1,0,1,0,1,2,2,2,0,0,0,0,0,3,0,8,4
week 6,7,3,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5,1,0,0,0,0,0,5,0,7,5
week 7,11,4,7,0,0,0,0,0,1,1,0,1,0,1,0,0,1,6,2,1,0,0,0,0,10,0,11,6
week 8,10,6,4,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,2,0,0,0,0,0,10,0,10,6
week 9,19,7,12,0,0,1,1,0,0,2,0,1,1,2,1,2,1,10,1,0,0,0,0,0,14,0,19,10
week 10,18,10,8,0,0,0,0,0,0,0,0,0,0,2,2,2,1,6,5,0,0,0,0,1,16,0,18,1
week 11,22,14,8,0,0,0,0,0,1,3,0,0,0,2,1,2,3,7,5,1,1,0,0,0,18,0,22,4
week 12,31,15,16,0,0,1,1,0,0,1,0,1,1,0,1,3,4,8,9,3,1,0,1,1,29,0,31,11
week 13,37,16,21,0,0,0,1,0,0,0,0,2,1,1,1,3,5,14,11,0,0,1,0,0,28,0,37,16
week 14,57,24,33,1,0,0,1,0,2,2,0,3,1,1,0,8,4,19,21,3,0,0,0,0,56,0,57,26
week 15,54,27,27,0,1,1,1,0,0,8,0,3,0,1,4,3,5,25,10,2,2,0,2,1,50,0,53,38
week 16,60,28,32,0,0,0,1,1,0,4,0,3,1,1,4,5,6,16,22,2,2,1,0,0,52,0,60,36
week 17,51,22,29,0,1,0,0,0,0,5,1,0,0,2,3,3,3,24,12,3,0,1,0,1,43,0,50,13
week 18,51,32,19,0,0,1,1,2,1,4,0,3,0,1,0,4,6,16,14,3,0,7,0,2,43,1,50,25
week 19,22,9,13,0,0,1,1,0,1,1,0,1,0,1,1,1,1,11,6,0,1,0,0,0,22,0,22,17
week 20,23,15,8,0,1,0,0,0,0,1,0,0,0,0,1,1,2,8,10,0,1,0,0,1,17,0,23,11
week 21,15,8,7,0,2,0,0,0,0,0,0,0,0,1,1,0,0,5,5,0,1,1,1,1,11,0,15,2
week 22,9,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,2,0,0,0,0,8,0,9,3
week 23,15,11,4,0,0,0,1,0,0,2,0,0,0,0,0,3,1,4,7,0,0,0,0,0,11,0,15,2
week 24,12,6,6,0,0,0,1,0,0,3,1,0,0,0,0,1,1,5,4,0,0,1,0,0,10,0,12,3
week 25,8,3,5,0,0,1,1,0,0,0,0,2,0,0,1,0,1,3,3,0,0,0,0,1,5,0,8,0
week 26,7,4,3,0,0,0,0,0,0,3,0,0,1,1,0,1,1,3,0,0,0,0,0,0,5,0,7,1
week 27,5,3,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,3,0,5,1
week 28,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,4,4
week 29,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,3,3
