epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,laboratory_cases,cases_cured
week 1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,2
week 2,5,1,4,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,1,0,0,0,0,4,5,5
week 3,5,3,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,1,0,0,3,5,5
week 4,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,3,3
week 5,8,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,7,8,8
week 6,4,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,4,4
week 7,8,5,3,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2,2,0,0,0,0,0,8,8,8
week 8,18,9,9,0,0,0,0,0,0,2,0,2,0,1,1,0,1,3,11,0,1,0,0,3,13,18,18
week 9,9,6,3,0,1,0,0,0,1,1,1,0,0,0,1,2,0,4,2,0,0,0,0,2,7,9,9
week 10,39,14,25,0,0,0,1,0,0,2,0,1,1,3,1,3,2,11,13,4,0,1,0,1,38,39,39
week 11,47,24,23,0,0,0,0,0,0,5,0,3,0,1,4,2,2,17,15,2,1,3,0,1,44,47,47
week 12,64,31,33,0,0,0,1,2,1,6,2,2,1,0,4,2,5,24,20,4,2,1,1,1,56,64,64
week 13,82,37,45,0,0,1,3,1,1,7,0,4,1,2,6,9,5,27,26,1,2,3,0,2,79,82,82
week 14,86,40,46,0,1,3,3,0,5,14,3,4,0,0,3,6,5,31,28,3,7,2,1,1,84,85,85
week 15,120,56,64,0,2,1,3,5,2,11,4,5,0,2,3,4,5,43,42,5,6,9,1,1,112,120,120
week 16,181,75,106,0,1,2,3,4,6,15,2,15,0,4,6,11,13,62,52,20,5,8,0,4,166,181,181
week 17,168,90,76,1,0,4,0,1,3,17,1,9,2,5,5,8,18,66,39,9,5,8,3,3,139,168,168
week 18,197,91,106,0,6,2,3,3,10,17,3,11,2,2,14,11,14,67,64,9,6,6,2,4,171,197,197
week 19,118,51,67,1,2,2,4,1,3,19,2,10,1,1,7,10,6,42,28,9,3,9,2,9,90,118,118
week 20,94,46,48,0,0,1,3,2,3,19,0,9,1,4,2,5,7,38,21,6,5,4,1,2,75,94,94
week 21,83,37,46,0,0,0,3,0,4,5,1,6,0,1,3,6,6,29,22,6,7,2,1,2,69,83,83
week 22,40,26,14,0,0,0,1,1,1,9,0,0,0,2,1,2,3,15,9,1,3,3,1,1,37,40,40
week 23,39,18,21,0,0,0,0,0,0,5,1,1,1,0,1,3,3,17,7,5,0,2,0,2,28,39,39
week 24,28,14,14,0,0,0,1,1,1,2,1,1,0,1,2,1,0,11,7,3,0,2,1,0,19,28,28
week 25,29,13,16,0,0,0,1,0,1,4,0,2,0,1,3,1,2,10,7,3,2,0,0,1,23,29,29
week 26,22,12,10,0,0,0,1,0,1,5,0,2,1,0,3,0,1,7,8,1,0,0,1,0,19,22,22
week 27,15,6,9,0,0,0,1,0,0,1,0,0,0,0,1,2,1,4,6,0,0,0,1,0,15,15,15
week 28,12,4,8,0,0,0,1,0,0,2,0,0,0,0,1,2,2,4,3,0,0,0,0,0,11,12,12
week 29,12,6,6,0,0,0,1,0,0,0,0,1,0,3,0,0,0,6,1,1,0,1,0,0,12,12,12
week 30,8,4,4,0,0,0,0,0,2,0,0,0,1,1,0,0,2,1,1,1,0,0,1,0,8,8,8
week 31,9,5,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,1,0,0,0,1,0,7,9,9
week 32,5,2,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,1,4,5,5
week 33,7,5,2,0,0,0,0,1,0,1,0,0,0,2,1,0,0,3,0,1,0,0,0,0,5,7,7
week 34,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3,3
week 35,9,3,6,0,0,0,0,0,2,0,0,0,0,2,1,2,1,1,2,0,0,0,0,1,8,9,9
week 36,12,2,10,0,0,0,0,0,0,3,0,0,0,1,4,1,0,5,1,0,0,0,0,0,11,12,12
week 37,9,7,2,1,0,0,0,0,0,2,0,0,0,2,2,1,1,2,1,0,0,0,0,1,7,9,9
week 38,4,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,3,4,4
week 39,10,5,5,0,0,0,1,0,0,0,1,0,0,3,2,3,0,1,1,0,0,0,0,1,8,10,10
week 40,9,4,5,0,0,0,0,0,0,0,0,1,1,2,3,0,0,2,0,0,0,1,0,1,8,9,9
week 41,7,6,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0,1,5,7,7
week 42,6,3,3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,2,0,0,0,0,1,5,6,6
week 43,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,3,3
week 44,7,2,5,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,3,0,0,0,0,0,6,7,7
week 45,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,5,6,6
week 46,10,4,6,0,0,0,0,1,0,1,0,0,0,1,1,2,2,2,2,0,0,0,0,0,10,10,10
week 47,8,4,4,0,0,0,1,0,0,0,0,1,0,0,2,2,0,1,3,0,0,0,0,0,7,8,8
week 48,9,4,5,0,0,0,0,0,1,2,0,0,1,2,1,0,1,2,1,0,1,0,0,0,9,9,9
week 49,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3
week 50,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,3,3
week 51,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,3
week 52,8,5,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,4,0,0,0,0,1,7,8,8
