epd_week,cases,male,female,illiterate,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 1,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,5,0,5,0,5
week 2,7,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,1,1,0,0,7,0,7,3,4
week 3,11,7,4,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,6,0,0,0,0,0,11,0,11,2,9
week 4,17,9,8,0,0,0,1,1,0,1,0,1,0,3,1,2,1,4,4,0,1,1,0,0,15,1,17,11,6
week 5,9,5,4,0,1,0,0,0,1,0,0,0,1,1,2,0,1,3,0,0,1,0,0,0,9,0,9,7,2
week 6,14,7,7,0,0,0,0,0,0,2,0,0,0,1,4,1,0,1,4,3,0,0,0,1,11,1,14,12,2
week 7,17,8,9,0,0,0,1,0,0,0,0,2,2,3,3,2,1,2,2,2,0,0,0,0,17,1,17,16,1
week 8,28,12,16,0,0,0,0,1,1,1,0,1,0,3,1,1,3,12,5,1,1,1,0,2,22,0,28,25,3
week 9,25,11,14,0,0,0,1,0,0,1,0,1,1,2,4,3,1,7,5,1,0,1,0,1,21,1,25,23,2
week 10,27,14,13,0,0,0,1,0,1,3,1,3,0,2,3,2,4,11,3,1,1,0,0,0,24,9,27,24,3
week 11,55,24,31,0,0,0,1,0,2,5,0,0,3,5,7,4,4,18,11,2,0,1,0,2,46,5,55,54,1
week 12,94,46,48,1,1,2,3,0,1,8,0,2,2,6,10,12,11,27,20,2,2,2,0,2,88,15,94,87,7
week 13,69,34,35,0,1,1,2,0,0,3,0,0,0,5,10,12,2,23,10,1,2,4,0,1,66,17,69,64,5
week 14,60,27,32,0,2,2,3,1,2,10,0,3,2,5,5,7,2,18,14,5,1,1,0,2,55,42,60,52,8
week 15,52,25,27,0,1,1,2,1,1,2,0,0,0,5,4,12,5,11,8,5,2,0,0,1,51,44,52,41,11
week 16,50,23,27,0,1,1,0,4,0,6,0,5,0,3,5,4,1,17,17,0,2,0,1,7,42,40,50,40,10
week 17,53,26,26,0,1,0,1,0,0,8,0,3,1,1,4,5,3,19,17,1,0,1,1,1,51,31,53,44,9
week 18,47,30,17,0,0,0,2,0,1,6,0,2,0,2,6,3,1,13,15,5,2,0,0,0,47,17,47,40,7
week 19,67,36,31,0,0,1,1,0,2,6,2,3,1,3,1,5,7,28,13,3,2,3,1,2,65,2,67,57,10
week 20,56,33,23,0,0,2,2,1,0,3,1,2,1,1,6,4,5,19,17,2,0,1,0,2,53,1,56,51,5
week 21,40,23,17,0,0,0,0,0,0,4,1,1,0,4,3,4,2,15,10,1,1,0,0,1,39,0,40,34,6
week 22,22,14,8,0,0,0,1,0,0,1,1,1,0,1,1,5,2,5,6,1,0,1,0,0,22,0,22,19,3
week 23,11,7,4,0,0,0,0,0,1,3,0,0,0,0,0,0,3,3,4,1,0,0,0,1,10,0,11,8,3
week 24,15,7,8,0,0,0,0,0,0,1,0,3,2,0,0,0,0,4,7,1,1,0,0,2,13,0,15,12,3
week 25,15,7,8,0,0,0,0,0,0,3,1,1,1,4,1,1,1,3,3,0,1,0,0,1,14,0,15,13,2
week 26,8,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,1,0,0,0,8,0,8,8,0
week 27,9,6,3,0,0,0,1,0,0,1,0,0,0,1,1,3,1,3,0,0,0,0,0,0,9,1,9,9,0
week 28,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,0,4,3,1
week 29,3,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2,1,0,3,2,1
week 30,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,2,0
week 31,5,1,4,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,5,0,5,2,3
week 32,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1,1
week 33,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,3,3,0
week 34,4,1,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,4,0,4,4,0
week 35,4,2,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,4,0,4,3,1
week 36,6,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,6,1,6,6,0
